chr,marker_name,pos,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10
Chr9,Chr9_116587935,116587935,1/1,0/0,0/0,0/1,0/1,0/0,0/1,1/1,0/1,0/1
Chr7,Chr7_131245036,131245036,0/1,0/0,0/1,0/1,1/1,1/1,0/1,0/1,0/0,0/1
Chr7,Chr7_139361370,139361370,1/1,0/0,1/1,0/0,0/0,1/1,0/0,1/1,0/1,0/1
Chr5,Chr5_213450450,213450450,0/0,0/0,0/1,0/1,0/1,0/0,0/1,1/1,1/1,1/1
Chr9,Chr9_87171908,87171908,0/1,1/1,1/1,1/1,1/1,0/0,0/1,0/1,0/1,1/1
Chr9,Chr9_138424742,138424742,0/1,0/1,1/1,1/1,0/0,0/1,0/1,0/0,0/1,0/0
Chr3,Chr3_27874080,27874080,0/1,0/0,0/1,0/0,0/1,0/0,1/1,0/1,0/1,0/1
Chr1,Chr1_194924051,194924051,0/1,0/0,1/1,1/1,0/0,0/0,1/1,0/1,1/1,0/1
Chr9,Chr9_71733161,71733161,0/1,0/1,0/0,0/1,1/1,1/1,0/0,0/1,0/1,0/1
Chr6,Chr6_146401528,146401528,0/0,1/1,0/1,0/1,0/1,0/0,0/1,0/1,0/1,0/1
Chr9,Chr9_55517090,55517090,0/0,1/1,0/1,0/0,0/1,0/1,1/1,0/0,1/1,0/1
Chr7,Chr7_87493216,87493216,1/1,0/1,0/0,0/0,0/0,1/1,1/1,0/1,0/1,0/0
Chr3,Chr3_194689268,194689268,0/1,1/1,0/1,0/0,0/1,0/1,0/1,0/1,1/1,1/1
Chr10,Chr10_141690148,141690148,0/1,0/1,1/1,0/1,1/1,0/1,0/1,1/1,1/1,0/0
Chr9,Chr9_141992430,141992430,0/1,1/1,1/1,1/1,0/1,0/0,0/0,1/1,1/1,1/1
Chr1,Chr1_175441639,175441639,0/1,1/1,0/0,0/0,0/0,0/0,0/1,0/0,0/1,0/1
Chr4,Chr4_151547555,151547555,0/1,./.,0/0,0/0,0/1,1/1,0/1,0/1,1/1,1/1
Chr3,Chr3_5553541,5553541,0/0,0/0,1/1,1/1,1/1,1/1,0/1,1/1,1/1,0/1
Chr7,Chr7_164459856,164459856,0/1,1/1,0/1,0/0,0/1,0/1,0/0,0/1,0/0,0/1
Chr5,Chr5_88524816,88524816,0/0,0/1,0/1,1/1,0/0,1/1,1/1,0/0,0/0,0/1
Chr8,Chr8_72806951,72806951,0/1,0/1,0/1,0/1,1/1,0/1,0/1,0/0,0/0,0/1
Chr2,Chr2_131818779,131818779,1/1,0/1,1/1,0/1,0/0,0/0,0/1,0/0,0/0,0/0
Chr5,Chr5_130463165,130463165,0/0,0/1,0/0,0/1,0/0,0/1,0/1,0/0,0/1,0/1
Chr7,Chr7_5220458,5220458,0/1,1/1,0/0,0/1,1/1,1/1,1/1,0/0,0/1,1/1
Chr10,Chr10_91397830,91397830,0/0,0/1,1/1,0/1,0/0,0/0,0/1,0/0,0/1,0/1
Chr2,Chr2_166658485,166658485,0/1,1/1,1/1,0/1,0/1,0/1,0/0,1/1,0/1,0/1
Chr4,Chr4_212432311,212432311,0/1,1/1,0/0,0/1,0/1,0/0,0/1,0/1,0/1,0/1
Chr8,Chr8_123847608,123847608,0/0,0/0,1/1,1/1,0/1,0/0,0/0,0/0,0/1,0/1
Chr6,Chr6_162136849,162136849,1/1,0/0,0/0,0/0,0/0,0/1,0/1,1/1,0/1,1/1
Chr3,Chr3_101382118,101382118,0/0,0/1,0/1,0/1,0/0,1/1,0/0,0/0,1/1,0/0
Chr8,Chr8_26082729,26082729,1/1,0/0,1/1,0/0,0/0,0/1,0/1,1/1,0/1,0/0
Chr7,Chr7_124659108,124659108,1/1,0/1,0/1,1/1,0/0,0/0,0/1,0/0,0/1,1/1
Chr9,Chr9_65610571,65610571,0/1,1/1,0/1,0/1,1/1,0/0,0/0,0/0,0/1,0/1
Chr7,Chr7_150116896,150116896,0/0,0/1,0/1,1/1,0/0,0/0,0/1,0/1,1/1,1/1
Chr10,Chr10_47778455,47778455,0/1,0/1,0/1,0/1,1/1,1/1,1/1,0/0,0/0,0/1
Chr5,Chr5_113439751,113439751,0/0,0/0,1/1,0/1,0/1,0/1,1/1,0/1,1/1,0/0
Chr1,Chr1_195949766,195949766,0/1,1/1,./.,1/1,0/1,0/1,0/1,1/1,1/1,0/1
Chr9,Chr9_80584546,80584546,0/0,0/0,0/1,0/1,0/0,0/1,0/0,0/0,1/1,1/1
Chr1,Chr1_144936853,144936853,1/1,0/1,0/0,0/0,0/1,0/1,1/1,1/1,1/1,0/0
Chr7,Chr7_43052535,43052535,0/0,0/1,0/1,1/1,1/1,1/1,0/0,0/0,0/0,1/1
Chr7,Chr7_11400156,11400156,0/1,0/1,0/0,0/0,0/1,0/1,1/1,1/1,0/0,0/0
Chr9,Chr9_114561906,114561906,1/1,1/1,1/1,0/1,0/0,0/1,1/1,0/1,0/1,0/1
Chr1,Chr1_182997747,182997747,1/1,0/1,0/1,1/1,0/0,0/1,0/0,1/1,1/1,0/0
Chr9,Chr9_47440110,47440110,0/0,0/0,1/1,1/1,1/1,0/0,0/0,1/1,0/1,0/1
Chr5,Chr5_211356705,211356705,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,0/1
Chr9,Chr9_93454456,93454456,1/1,0/1,0/1,0/0,0/1,0/0,0/0,1/1,0/1,0/1
Chr7,Chr7_153071045,153071045,1/1,0/1,1/1,0/1,0/0,0/1,0/1,0/1,1/1,0/1
Chr5,Chr5_85579946,85579946,0/1,0/0,0/0,1/1,0/0,0/1,0/0,1/1,0/1,1/1
Chr9,Chr9_33488786,33488786,0/0,0/1,0/1,0/1,0/1,1/1,0/0,0/1,0/0,1/1
Chr10,Chr10_10525078,10525078,1/1,0/0,0/0,0/0,0/0,0/1,0/0,0/0,0/1,1/1
Chr2,Chr2_35731609,35731609,0/0,0/1,0/1,0/1,0/1,0/0,1/1,0/1,1/1,0/0
Chr5,Chr5_74534521,74534521,0/1,0/1,1/1,1/1,0/1,0/1,0/1,0/1,1/1,0/1
Chr6,Chr6_94857910,94857910,0/0,0/1,0/1,0/1,0/1,0/1,0/1,0/0,0/0,1/1
Chr1,Chr1_303827479,303827479,0/1,0/0,0/1,1/1,1/1,1/1,1/1,0/1,1/1,0/1
Chr2,Chr2_117891967,117891967,0/1,0/1,1/1,1/1,0/1,0/1,0/0,0/0,1/1,0/1
Chr10,Chr10_26391277,26391277,0/1,0/1,0/1,0/1,0/0,1/1,0/0,1/1,0/1,0/0
Chr3,Chr3_54466241,54466241,1/1,0/1,0/1,0/0,0/0,0/1,./.,0/0,1/1,0/1
Chr10,Chr10_127373193,127373193,0/0,0/1,0/1,0/1,1/1,0/0,0/1,1/1,0/1,1/1
Chr6,Chr6_142644700,142644700,1/1,0/1,0/0,0/0,1/1,0/1,0/1,0/1,0/1,0/1
Chr2,Chr2_98954444,98954444,0/0,0/0,0/1,0/1,0/1,0/0,0/1,1/1,0/0,1/1
Chr6,Chr6_116068436,116068436,1/1,0/1,1/1,0/0,0/1,0/1,1/1,0/1,0/1,0/1
Chr6,Chr6_5132591,5132591,0/1,0/1,0/1,1/1,0/1,1/1,0/0,0/1,1/1,0/0
Chr2,Chr2_189813467,189813467,0/1,1/1,0/1,1/1,0/1,0/1,0/1,1/1,0/1,0/1
Chr8,Chr8_85411007,85411007,0/1,0/0,0/1,1/1,0/0,0/0,0/1,0/1,1/1,1/1
Chr3,Chr3_11886818,11886818,0/0,0/1,0/0,1/1,0/1,0/1,0/1,1/1,0/1,0/1
Chr1,Chr1_148443758,148443758,1/1,0/1,0/1,0/1,0/0,1/1,0/1,0/1,0/1,1/1
Chr9,Chr9_142610915,142610915,0/1,0/1,0/1,0/1,0/0,1/1,0/0,0/0,0/1,0/0
Chr7,Chr7_128456673,128456673,1/1,0/1,0/1,1/1,0/1,1/1,1/1,0/1,0/1,0/0
Chr9,Chr9_24379179,24379179,0/0,0/1,0/1,0/0,1/1,0/1,1/1,0/1,0/0,0/0
Chr4,Chr4_28268658,28268658,0/0,1/1,0/0,0/1,./.,0/1,1/1,0/0,0/1,0/1
Chr4,Chr4_89660801,89660801,0/1,1/1,0/1,0/1,0/1,0/0,1/1,0/1,1/1,1/1
Chr8,Chr8_90461212,90461212,1/1,0/1,1/1,0/0,0/1,1/1,0/0,0/1,1/1,0/1
Chr1,Chr1_48500823,48500823,0/1,0/1,0/0,0/1,1/1,0/0,0/1,0/1,0/1,0/1
Chr1,Chr1_103933344,103933344,1/1,0/1,0/1,0/1,./.,0/1,0/1,0/1,0/1,1/1
Chr7,Chr7_102610758,102610758,0/1,0/1,0/1,0/0,0/0,1/1,0/1,0/1,1/1,1/1
Chr6,Chr6_49817297,49817297,0/1,0/0,0/0,0/1,0/0,0/1,0/1,0/1,0/0,0/1
Chr4,Chr4_70114225,70114225,0/1,0/1,1/1,0/1,1/1,0/0,1/1,0/1,0/0,1/1
Chr4,Chr4_191952486,191952486,0/0,0/1,0/1,0/1,0/0,1/1,0/1,1/1,0/1,1/1
Chr3,Chr3_229592417,229592417,1/1,0/1,1/1,0/1,0/0,0/1,0/0,0/1,0/1,1/1
Chr6,Chr6_96241427,96241427,0/1,1/1,1/1,0/1,0/1,0/0,0/1,0/1,0/1,0/0
Chr8,Chr8_18878643,18878643,0/0,0/1,1/1,1/1,0/0,1/1,0/0,0/0,1/1,0/0
Chr1,Chr1_264432303,264432303,1/1,0/1,0/1,0/1,0/0,0/0,1/1,0/0,0/1,1/1
Chr9,Chr9_85163823,85163823,0/1,0/0,1/1,0/1,1/1,0/1,0/1,0/1,1/1,0/1
Chr3,Chr3_100235650,100235650,1/1,1/1,1/1,0/1,0/1,1/1,0/1,0/1,0/1,0/1
Chr7,Chr7_44615027,44615027,0/1,0/0,1/1,1/1,1/1,0/1,0/1,0/1,0/1,0/1
Chr8,Chr8_137165721,137165721,0/0,1/1,0/0,1/1,0/1,1/1,1/1,0/0,1/1,0/1
Chr6,Chr6_50947071,50947071,0/1,0/1,0/1,0/1,1/1,0/1,1/1,0/0,0/1,0/0
Chr7,Chr7_87536024,87536024,0/0,0/1,1/1,1/1,0/1,1/1,1/1,0/1,0/1,0/0
Chr5,Chr5_128397710,128397710,0/1,0/1,0/1,0/1,0/1,0/1,0/0,0/1,0/0,0/1
Chr9,Chr9_14004755,14004755,0/0,1/1,0/1,0/1,1/1,1/1,1/1,0/1,0/0,./.
Chr8,Chr8_86380589,86380589,0/0,0/1,0/1,0/1,0/0,1/1,1/1,0/1,0/0,0/1
Chr4,Chr4_13553781,13553781,0/1,0/1,1/1,0/1,0/0,1/1,0/1,1/1,1/1,0/1
Chr2,Chr2_118893328,118893328,0/1,0/0,0/1,1/1,1/1,0/1,1/1,0/1,1/1,0/1
Chr4,Chr4_201636097,201636097,0/0,0/0,0/1,0/1,0/0,0/1,0/1,1/1,0/1,0/1
Chr8,Chr8_19950616,19950616,0/0,0/0,0/1,0/0,0/1,0/0,0/1,1/1,0/1,0/0
Chr7,Chr7_118796215,118796215,0/1,0/1,1/1,0/0,1/1,0/0,0/0,0/1,0/1,0/1
Chr2,Chr2_60588726,60588726,0/1,1/1,0/1,0/0,0/1,0/1,0/1,1/1,0/0,0/1
Chr5,Chr5_99108312,99108312,1/1,0/0,0/1,0/0,0/0,0/0,0/1,0/1,0/1,0/0
Chr6,Chr6_143339563,143339563,0/1,0/1,0/1,0/0,0/1,0/0,0/0,0/1,0/1,0/0
Chr10,Chr10_102876873,102876873,0/0,0/0,1/1,0/1,0/0,0/0,0/1,0/1,0/1,0/0
